country,country_code,year,co2_per_capita
Argentina,ARG,2000,3.8521757
Argentina,ARG,2001,3.588163
Argentina,ARG,2002,3.2850976
Argentina,ARG,2003,3.4983344
Argentina,ARG,2004,4.050791
Argentina,ARG,2005,4.123947
Argentina,ARG,2006,4.4001102
Argentina,ARG,2007,4.3422694
Argentina,ARG,2008,4.64068
Argentina,ARG,2009,4.3661532
Argentina,ARG,2010,4.507803
Argentina,ARG,2011,4.550224
Argentina,ARG,2012,4.5471244
Argentina,ARG,2013,4.4507732
Argentina,ARG,2014,4.3821793
Argentina,ARG,2015,4.4117293
Argentina,ARG,2016,4.3284545
Argentina,ARG,2017,4.223813
Argentina,ARG,2018,4.0865293
Argentina,ARG,2019,4.011869
Argentina,ARG,2020,3.6425223
Argentina,ARG,2021,4.1974697
Argentina,ARG,2022,4.047052
Argentina,ARG,2023,3.9177263
Argentina,ARG,2024,3.7434063
Australia,AUS,2000,18.288157
Australia,AUS,2001,18.469387
Australia,AUS,2002,18.495451
Australia,AUS,2003,18.708109
Australia,AUS,2004,19.055769
Australia,AUS,2005,18.974682
Australia,AUS,2006,19.007372
Australia,AUS,2007,19.036264
Australia,AUS,2008,18.91755
Australia,AUS,2009,18.683231
Australia,AUS,2010,18.292547
Australia,AUS,2011,17.96612
Australia,AUS,2012,17.72246
Australia,AUS,2013,17.121933
Australia,AUS,2014,16.639103
Australia,AUS,2015,16.72746
Australia,AUS,2016,16.837934
Australia,AUS,2017,16.71615
Australia,AUS,2018,16.512163
Australia,AUS,2019,16.28262
Australia,AUS,2020,15.481285
Australia,AUS,2021,14.96633
Australia,AUS,2022,14.65893
Australia,AUS,2023,14.529289
Australia,AUS,2024,14.477199
Brazil,BRA,2000,1.9548683
Brazil,BRA,2001,1.9634905
Brazil,BRA,2002,1.948225
Brazil,BRA,2003,1.9080932
Brazil,BRA,2004,1.9785615
Brazil,BRA,2005,1.9728968
Brazil,BRA,2006,1.976238
Brazil,BRA,2007,2.0714328
Brazil,BRA,2008,2.167588
Brazil,BRA,2009,2.0292346
Brazil,BRA,2010,2.2729204
Brazil,BRA,2011,2.3653224
Brazil,BRA,2012,2.5268083
Brazil,BRA,2013,2.6782215
Brazil,BRA,2014,2.7814436
Brazil,BRA,2015,2.6189272
Brazil,BRA,2016,2.4197884
Brazil,BRA,2017,2.429146
Brazil,BRA,2018,2.3123908
Brazil,BRA,2019,2.2979572
Brazil,BRA,2020,2.1470218
Brazil,BRA,2021,2.3696554
Brazil,BRA,2022,2.2826612
Brazil,BRA,2023,2.2922719
