Entity,Code,Year,Total across all levels of education
Argentina,ARG,2000,4.58031
Argentina,ARG,2001,4.83374
Argentina,ARG,2002,4.01734
Argentina,ARG,2003,3.53505
Argentina,ARG,2004,3.48652
Argentina,ARG,2005,3.86001
Argentina,ARG,2006,4.12821
Argentina,ARG,2007,4.4626
Argentina,ARG,2008,4.84441
Argentina,ARG,2009,5.53105
Argentina,ARG,2010,5.01971
Argentina,ARG,2011,5.29063
Argentina,ARG,2012,5.34583
Argentina,ARG,2013,5.43661
Argentina,ARG,2014,5.36144
Argentina,ARG,2015,5.77611
Argentina,ARG,2016,5.54549
Argentina,ARG,2017,5.45432
Argentina,ARG,2018,4.87774
Argentina,ARG,2019,4.77165
Argentina,ARG,2020,5.2769
Argentina,ARG,2021,4.64117
Argentina,ARG,2022,4.80521
Australia,AUS,2000,4.75934
Australia,AUS,2001,5.2226157
Australia,AUS,2002,5.3056965
Australia,AUS,2003,5.245258
Australia,AUS,2004,5.1930723
Australia,AUS,2005,5.2718763
Australia,AUS,2006,5.16309
Australia,AUS,2007,4.969669
Australia,AUS,2008,4.9018235
Australia,AUS,2009,5.3964067
Australia,AUS,2010,6.1504364
Australia,AUS,2011,6.006016
Australia,AUS,2012,5.559248
Australia,AUS,2013,5.519627
Australia,AUS,2014,5.4375525
Australia,AUS,2015,5.462858
Australia,AUS,2016,5.4303856
Australia,AUS,2017,5.3212557
Australia,AUS,2018,5.409676
Australia,AUS,2019,5.508589
Australia,AUS,2020,5.37828
Australia,AUS,2021,5.33321
Australia,AUS,2022,5.2067766
Brazil,BRA,2000,3.94893
Brazil,BRA,2001,3.84468
Brazil,BRA,2002,3.75037
Brazil,BRA,2004,3.97448
Brazil,BRA,2005,4.47908
Brazil,BRA,2006,4.8706
Brazil,BRA,2007,4.97426
Brazil,BRA,2008,5.26884
Brazil,BRA,2009,5.46355
Brazil,BRA,2010,5.6488
Brazil,BRA,2011,5.73741
Brazil,BRA,2012,5.8551
Brazil,BRA,2013,5.83885
Brazil,BRA,2014,5.94848
Brazil,BRA,2015,6.24106
Brazil,BRA,2016,6.31404
Brazil,BRA,2017,6.32048
Brazil,BRA,2018,6.08851
Brazil,BRA,2019,5.96347
Brazil,BRA,2020,5.7715
Brazil,BRA,2021,5.49698
Canada,CAN,2000,5.42332
Canada,CAN,2001,4.95303
Canada,CAN,2002,4.99308
Canada,CAN,2005,4.76588
Canada,CAN,2007,4.76641
Canada,CAN,2008,4.62612
Canada,CAN,2009,4.84058
Canada,CAN,2010,5.35637
Canada,CAN,2011,5.26205
Canada,CAN,2012,4.6925874
Canada,CAN,2013,4.58901
Canada,CAN,2014,4.84359
Canada,CAN,2015,4.73938
Canada,CAN,2016,4.81642
Canada,CAN,2017,4.95997
Canada,CAN,2018,4.88898
Canada,CAN,2019,4.77293
Canada,CAN,2020,4.88795
Canada,CAN,2021,4.7486
Canada,CAN,2022,4.483862
Canada,CAN,2023,4.535638
China,CHN,2005,2.3919055
China,CHN,2006,2.4412844
China,CHN,2007,2.7007349
China,CHN,2008,3.6317883
China,CHN,2009,3.751522
China,CHN,2010,3.5596652
China,CHN,2011,3.521965
China,CHN,2012,4.0774345
China,CHN,2013,3.8525088
China,CHN,2014,3.7266376
China,CHN,2015,3.824865
China,CHN,2016,3.7936225
China,CHN,2017,3.6674504
China,CHN,2018,4.024424
China,CHN,2019,4.059395
China,CHN,2020,4.2333813
China,CHN,2021,3.988325
China,CHN,2022,4.0235696
Egypt,EGY,2002,4.7958837
Egypt,EGY,2003,4.94563
Egypt,EGY,2004,4.67072
Egypt,EGY,2005,4.79443
Egypt,EGY,2006,4.00178
Egypt,EGY,2007,3.68461
Egypt,EGY,2008,3.76083
Egypt,EGY,2009,3.639191
Egypt,EGY,2010,3.542652
Egypt,EGY,2011,3.3442965
Egypt,EGY,2012,3.3683047
Egypt,EGY,2013,4.122526
Egypt,EGY,2014,4.2513857
Egypt,EGY,2015,3.9308481
France,FRA,2000,5.6002192
France,FRA,2001,5.6178
France,FRA,2002,5.7809753
France,FRA,2003,5.762063
France,FRA,2004,5.549234
France,FRA,2005,5.5172276
France,FRA,2006,5.4753103
France,FRA,2007,5.3045287
France,FRA,2008,5.3872757
France,FRA,2009,5.669219
France,FRA,2010,5.6427917
France,FRA,2011,5.4801154
France,FRA,2012,5.488356
France,FRA,2013,5.4928937
France,FRA,2014,5.4892044
France,FRA,2015,5.4464273
France,FRA,2016,5.408058
France,FRA,2017,5.4516
France,FRA,2018,5.40717
France,FRA,2019,5.35443
France,FRA,2020,5.65981
France,FRA,2021,5.43039
Germany,DEU,2000,4.0334606
Germany,DEU,2001,4.1179123
Germany,DEU,2002,4.142289
Germany,DEU,2003,4.137968
Germany,DEU,2004,4.0688343
Germany,DEU,2005,4.05373
Germany,DEU,2006,3.9757974
Germany,DEU,2007,3.8797193
Germany,DEU,2008,4.54924
Germany,DEU,2009,4.2779784
Germany,DEU,2010,5.09588
Germany,DEU,2011,4.98425
Germany,DEU,2012,4.92844
Germany,DEU,2013,4.93539
Germany,DEU,2014,4.92102
Germany,DEU,2015,4.85515
Germany,DEU,2016,4.83923
Germany,DEU,2017,4.87183
Germany,DEU,2018,4.97933
Germany,DEU,2019,5.11552
Germany,DEU,2020,5.59038
Germany,DEU,2021,5.45489
Germany,DEU,2022,4.393009
Germany,DEU,2023,4.4749913
India,IND,2000,4.32479
India,IND,2003,3.61341
India,IND,2004,3.35254
India,IND,2005,3.18875
India,IND,2006,3.14285
India,IND,2009,3.27825
India,IND,2010,3.37769
India,IND,2011,3.79618
India,IND,2012,4.0847983
India,IND,2013,3.84467
India,IND,2014,3.8987803
India,IND,2015,4.1149917
India,IND,2016,4.2565165
India,IND,2017,4.306397
India,IND,2018,4.3769326
India,IND,2019,3.8973236
India,IND,2020,4.0401416
India,IND,2021,4.629499
India,IND,2022,4.098658
Indonesia,IDN,2001,2.46003
Indonesia,IDN,2002,2.64569
Indonesia,IDN,2003,3.218
Indonesia,IDN,2004,2.74847
Indonesia,IDN,2005,2.87282
Indonesia,IDN,2007,3.04425
Indonesia,IDN,2008,2.9019
Indonesia,IDN,2009,3.52513
Indonesia,IDN,2010,2.81228
Indonesia,IDN,2011,3.18944
Indonesia,IDN,2012,3.40748
Indonesia,IDN,2013,3.35904
Indonesia,IDN,2014,3.28801
Indonesia,IDN,2015,3.5836
Indonesia,IDN,2016,1.2102345
Indonesia,IDN,2017,1.0532439
Indonesia,IDN,2018,0.99443644
Indonesia,IDN,2019,0.9643991
Indonesia,IDN,2020,1.0159322
Indonesia,IDN,2021,1.0322175
Indonesia,IDN,2022,0.86394334
Indonesia,IDN,2023,1.2751709
Japan,JPN,2000,3.46012
Japan,JPN,2001,3.40082
Japan,JPN,2002,3.40899
Japan,JPN,2003,3.46663
Japan,JPN,2004,3.42611
Japan,JPN,2005,3.31494
Japan,JPN,2006,3.27668
Japan,JPN,2007,3.27934
Japan,JPN,2008,3.27242
Japan,JPN,2009,3.5559778
Japan,JPN,2010,3.59952
Japan,JPN,2011,3.60528
Japan,JPN,2012,3.41945
Japan,JPN,2013,3.40875
Japan,JPN,2014,3.4153
Japan,JPN,2015,3.31221
Japan,JPN,2016,3.14643
Japan,JPN,2017,3.13058
Japan,JPN,2018,3.07782
Japan,JPN,2019,3.15534
Japan,JPN,2020,3.30629
Japan,JPN,2021,3.33564
Japan,JPN,2022,3.2376213
Kenya,KEN,2000,5.18673
Kenya,KEN,2001,5.20621
Kenya,KEN,2002,6.172
Kenya,KEN,2003,6.49427
Kenya,KEN,2004,6.79693
Kenya,KEN,2005,7.33565
Kenya,KEN,2006,7.04984
Kenya,KEN,2009,4.02
Kenya,KEN,2010,4.81549
Kenya,KEN,2011,4.70013
Kenya,KEN,2012,4.93121
Kenya,KEN,2013,4.83721
Kenya,KEN,2014,4.7173
Kenya,KEN,2015,4.9494514
Kenya,KEN,2016,4.665563
Kenya,KEN,2017,4.2687426
Kenya,KEN,2018,5.321925
Kenya,KEN,2019,5.373592
Kenya,KEN,2020,5.0457487
Kenya,KEN,2021,4.890402
Kenya,KEN,2022,4.511018
Kenya,KEN,2023,3.9622931
Kenya,KEN,2024,4.0224233
Mexico,MEX,2000,3.8087
Mexico,MEX,2001,4.03134
Mexico,MEX,2002,4.24307
Mexico,MEX,2003,4.83262
Mexico,MEX,2004,4.51204
Mexico,MEX,2005,4.63395
Mexico,MEX,2006,4.49317
Mexico,MEX,2007,4.47922
Mexico,MEX,2008,4.60609
Mexico,MEX,2009,4.94934
Mexico,MEX,2010,4.93695
Mexico,MEX,2011,4.90406
Mexico,MEX,2012,4.88348
Mexico,MEX,2013,4.50858
Mexico,MEX,2014,5.06809
Mexico,MEX,2015,5.05088
Mexico,MEX,2016,4.75796
Mexico,MEX,2017,4.39752
Mexico,MEX,2018,4.13945
Mexico,MEX,2020,4.5006
Mexico,MEX,2021,4.24953
New Zealand,NZL,2009,6.5433383
New Zealand,NZL,2010,6.5974126
New Zealand,NZL,2011,6.551253
New Zealand,NZL,2012,6.5308533
New Zealand,NZL,2013,5.88856
New Zealand,NZL,2014,5.80854
New Zealand,NZL,2015,5.70735
New Zealand,NZL,2016,5.5056
New Zealand,NZL,2017,5.28
New Zealand,NZL,2018,5.19309
New Zealand,NZL,2019,5.17798
New Zealand,NZL,2020,5.65149
New Zealand,NZL,2021,5.54822
New Zealand,NZL,2022,5.23012
Nigeria,NGA,2012,0.5492331
Nigeria,NGA,2013,0.53420675
Nigeria,NGA,2014,0.47074255
Nigeria,NGA,2015,0.43695492
Nigeria,NGA,2016,0.39304563
Nigeria,NGA,2017,0.39635402
Nigeria,NGA,2018,0.4199985
Nigeria,NGA,2019,0.358479
Nigeria,NGA,2020,0.35963765
Nigeria,NGA,2021,0.38191912
Nigeria,NGA,2022,0.3485167
Peru,PER,2000,3.22803
Peru,PER,2001,3.03712
Peru,PER,2002,2.82057
Peru,PER,2003,2.9378
Peru,PER,2004,2.95787
Peru,PER,2005,2.83903
Peru,PER,2006,2.65281
Peru,PER,2007,2.6294
Peru,PER,2008,2.86775
Peru,PER,2009,3.13994
Peru,PER,2010,2.8673
Peru,PER,2011,2.6635
Peru,PER,2012,2.92276
Peru,PER,2013,3.29729
Peru,PER,2014,3.69599
Peru,PER,2015,3.96933
Peru,PER,2016,3.81317
Peru,PER,2017,3.93131
Peru,PER,2018,3.71392
Peru,PER,2019,3.82243
Peru,PER,2020,4.25938
Peru,PER,2021,3.92721
Peru,PER,2022,3.83316
Peru,PER,2023,4.23517
South Africa,ZAF,2000,4.90881
South Africa,ZAF,2001,4.63618
South Africa,ZAF,2002,4.54569
South Africa,ZAF,2003,4.3521
South Africa,ZAF,2004,4.50898
South Africa,ZAF,2005,4.5245
South Africa,ZAF,2006,4.52652
South Africa,ZAF,2007,4.44667
South Africa,ZAF,2008,4.37425
South Africa,ZAF,2009,4.76119
South Africa,ZAF,2010,5.13497
South Africa,ZAF,2011,5.28898
South Africa,ZAF,2012,5.52323
South Africa,ZAF,2013,5.35072
South Africa,ZAF,2014,5.48978
South Africa,ZAF,2015,5.48285
South Africa,ZAF,2016,5.44424
South Africa,ZAF,2017,5.59867
South Africa,ZAF,2018,5.64401
South Africa,ZAF,2019,5.91158
South Africa,ZAF,2020,6.17067
South Africa,ZAF,2021,6.54903
South Africa,ZAF,2022,6.16726
South Africa,ZAF,2023,6.14839
South Africa,ZAF,2024,6.7200727
Sweden,SWE,2000,6.74015
Sweden,SWE,2001,6.61764
Sweden,SWE,2002,6.92435
Sweden,SWE,2003,6.79143
Sweden,SWE,2004,6.66311
Sweden,SWE,2005,6.5064
Sweden,SWE,2006,6.36429
Sweden,SWE,2007,6.17159
Sweden,SWE,2008,6.34455
Sweden,SWE,2009,6.74971
Sweden,SWE,2010,6.52269
Sweden,SWE,2011,6.36692
Sweden,SWE,2012,7.53697
Sweden,SWE,2013,7.61121
Sweden,SWE,2014,7.57373
Sweden,SWE,2015,7.4439
Sweden,SWE,2016,7.61862
Sweden,SWE,2017,7.56883
Sweden,SWE,2018,7.64084
Sweden,SWE,2019,7.63851
Sweden,SWE,2020,7.92561
Sweden,SWE,2021,7.5722
Sweden,SWE,2022,7.115294
United Kingdom,GBR,2000,4.01822
United Kingdom,GBR,2001,4.10014
United Kingdom,GBR,2002,4.61193
United Kingdom,GBR,2003,4.80129
United Kingdom,GBR,2004,4.73555
United Kingdom,GBR,2005,4.92977
United Kingdom,GBR,2006,4.97649
United Kingdom,GBR,2007,4.92445
United Kingdom,GBR,2008,4.90974
United Kingdom,GBR,2009,5.06263
United Kingdom,GBR,2010,5.69868
United Kingdom,GBR,2011,5.57219
United Kingdom,GBR,2012,5.578874
United Kingdom,GBR,2013,5.5253
United Kingdom,GBR,2014,5.60135
United Kingdom,GBR,2015,5.55452
United Kingdom,GBR,2016,5.42796
United Kingdom,GBR,2017,5.45257
United Kingdom,GBR,2018,5.20437
United Kingdom,GBR,2019,5.26116
United Kingdom,GBR,2020,5.43935
United Kingdom,GBR,2021,5.90458
United Kingdom,GBR,2022,4.9190397
United States,USA,2000,6.0856495
United States,USA,2001,6.29892
United States,USA,2002,6.3599563
United States,USA,2003,6.3286095
United States,USA,2004,6.253762
United States,USA,2005,6.1709843
United States,USA,2006,6.164032
United States,USA,2007,6.243322
United States,USA,2008,6.4360843
United States,USA,2009,6.7386975
United States,USA,2010,6.6945558
United States,USA,2011,6.497685
United States,USA,2012,6.253889
United States,USA,2013,6.2115464
